RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 14334	11.04.1994	Cambs RO Q/RDc 11	CAM	Bassingborne	Bassingbourn		P	E	Cambs RO also has another copy of the map, at 296/P6.  [At R55/26/2 is a 6-chain map, ex Cambs CC, on tracing linen, 6 chains, undated, possibly later C19, showing only roads and outlines of buildings, apparently prepared to show the site of a school.]	TL337437	204 SE		3381.077	3381.07	Y	Includes hamlet of Kneesworth, not mapped in full detail.	01.01.1806	12	Thos Thorpe				M	A	C	53 X 73	CE	G-				SGJX - some subdivisions of allotments are identified by red letters.		Y		R			C											Y			Y																			B					H			Y		Y	O		Y	Plain double oval round title.	Y	1		Several moats.	
PRO 17611	28.09.1995	LAO Lindsey Award 94	LIN	Wrawby cum Brigg	Wrawby, Brigg		P	E		TA018092	89 NE		3385.797	3385.79	Y	Plausible-looking transcript on linen, possibly first half of C20.  Brigg town not mapped in much detail (and incomplete anyway).	02.02.1805	8					M	A	-	113 X 76	UT	-				G							Q - `pit'.									DN																																Y		N			Y			1			
PRO 14347	11.04.1994	Cambs RO Q/RDc 14	CAM	Dullingham	Dullingham		P	E		TL630573	188 SE, 205 NE		3386.658	3386.65	Y	Reference is on separate sheet.	01.01.1807	6					M	A	C	88 X 207 (+ 82 x 89)	CE	G				BRKLX - tenure status noted in red.							C		T	T	CD										YNU																										R	Y		Y	Y - in reference.	R	Y	Double-cased yellow with concave corners.	Y	1			
PRO 13726	25.11.1993	PRO MAF 1/556	WOR	Eldersfield	Eldersfield		M and P	E	Worcester RO has the county enrolled copy, f143/72 (307).	SO805315	216 N	William Knowles, Gloucester, Land Surveyor	3387.284	3387.28	Y	This is Map B of this enclosure; for Map A see 13727.   Award is at MAF 1/1009.	02.02.1863	6					M	B	P	144 X 90	PE	G				SN		Y									C			CX - scale statement.	P			Y	Y														N																Y						Y	1		Dated 1864 in title, but has 24:12:63 RD.  `Church' and scale statement in gothic.	
PRO 15662	21.10.1994	Westmd RO WQ/R/C 24	WML	Whitwell and Selside	Selside	Kendal	T	T		NY530000	39 N		3387.753	3387.75	Y	Same author as 15638 etc; style more akin to 15642.	03.03.1834	8					M	A	P	77 X 130	CE	G				BWO - grey buildings.												IN									Y														F											Y			Y						Y	1		Variety of lettering for names.  No certification.	
PRO 17908	02.11.1995	NRO C/Sca 2/153	NFK	Hindringham	Hindringham		P	E	Norfolk RO: BR 90/36/26.	TF980370	30 SE, 131 SW		3391.365	3391.36	Y	SUR from award.  FAO omitted from some old enclosures.  Some old enclosure boundaries seem to be omitted, e.g. in NW.	01.01.1817	6	Robert Pratt, Norwich				M	A	C	102 X 85	CE	G				RKTX - only new roads coloured; private roads green.		Y					G				PT - with clerestory and aisles, and churchyard with gravestones.							Y	S																										T		Y	Y	F - frog hall, outside parish.	Y	L	I	Y		Y	1		One large undescribed moat, boundary Stone.	
PRO 16761	06.06.1995	Leeds RO Acc. 1269 (Weston parish 27)	YOW	Askwith	Askwith	Weston	T	E		SE170500	61 SE, 69 NE		3392.725	3392.72	Y	SUR apparently not named in the verbiage of the award.	01.01.1781	8					M	A	P	60 X 93	L	G				BWOX - water grey-blue; some old owners only; footpaths sienna, roads uncoloured.		Y		R			QN									AN																										R			C		YR - mixture of the two.	Y					Y		Y	1		Water Place.	
PRO 15675	25.10.1994	Cumb RO QRE/1/92	CMB	Bassenthwaite	Bassenthwaite		M	E		NY250300	23 S, 29 N		3393	6915.15	X	Scale has link-diagonal at one end.  (OS 6-inch 1st edn CAT is T+P.)	01.01.1771	9					M	A	C	96 X 80	CE	G-				WLOP - grey hill-shading, water and title.																		N																		P											L	Y					Y	XRQX - Rococco surround on two sides of title, in corner: conventionally refulgent.	Y	2		Physical features along boundary named.	
PRO 17426	07.09.1995	Suffolk RO 150/1/2.4	SFK	Rickinghall Superior and Rickinghall Inferior	Rickinghall		Ps	E	West Suffolk RO: Q/RI 21 [photo of Rickinghall Inferior only].	TM040740	175 SW, 190 NW		3394.394	3394.39	Y	[OSA: Rickinghall Superior, 1413.894; Rickinghall Inferior, 1980.500.]	01.01.1819	9	R. Payne	T			M	A	C	59 X 70, 61 X 86	CE	G				RKPTUX - notes explain the various exchange and manor-copyhold colours, which are unusually elaborate; stopped roads and paths blue-green; grey cartouche-shading.		Y		R					C	P	PT - x 2.	N							B		YN			Y			Y		X - rows of dashes.											B					H		L	Y	M - larger houses only.	Y	L		Y	XDQX - Rickinghall Superior part has oval hyacinth surround, shaded grey; Rickinghall Inferior has pen above title, and apparently crossed rushes below.	Y	3	Hyacinths, pen, rushes: in CAR.	Apparent shrubbery (close `bushes') at Mansion House on Rickinghall Inferior sheet.  Numerous Stopp'd paths: seems to have been excuse for a great culling of them.	
PRO 15463	08.09.1994	Lancs RO UDTr 4/1	LNC	Trawden, Winewall and Wycoller	The Forest of Trawden	Whalley	Hs	E		SD948372	68 SE		3398	6807.91	X	The forest or reputed forest of Trawden, comprising these hamlets, in the manor and chapelry of Colne, in the parish of Whalley: the name alone needs some control.  Thos Gee was the commissioner.  CAT = T on OS 6-inch 1st edition: OSA is for Trawden township, the three in PLA being constituent hamlets.	01.01.1821	12	Edward Gee				M	A	C	72 X 46	L	G				SDGLUX - surveyors of highways lots, as roads.																																		Y - grey.	F								H		T			Y		Y			Y		Y	1		Piles of stones, egg-like groups of dots, shown and named, both on and away from boundary.  Cloughs named.  Slate Pits, boundry Cross (named), named Well, named Cross (pictorial), Lad Law (dot in circle), Public Watering Place.	
PRO 12654	03.08.1993	PRO MAF 1/5	GLA	Hirwain Common	Hirwaun	Aberdare and Ystradyfodwg	-	E	The county enrolled copy is at Mid and South Glamorgan Record Office, Q/DP/337, where also is a justices-certified road map, Q/DP/254.	SN950055	231 S	Edward David, Radyr, Glamorganshire, Land Surveyor	3400	36059.66	E	Award is at PRO MAF 1/1007.  [OSA: Aberdare, 16618.907; Ystradyfodwg, 19440.757.]	02.02.1864	3			1	02.12.1869	M	A	P	189 X 351	PE	G	Y			SA	YNRT	Y	NT									IN						Y																											BT										Y	4		Hirwain is at 1 chain, a disputed boundary award at 4 chains and a small settlement at 2 chains.  School.	
PRO 13937	25.01.1994	Bdf RO MA 39	BDF	Cardington	Cardington		P	E		TL080476	203 E		3400	5338.91	E	Includes Barrowden and Cotton End, but no indication of Eastcott or the ABB shown on NS-1.  [OS acreage is for Cardington (2522.669) and Eastcott (2816.245) combined.]	01.01.1808	8	Thos. Lilburne				M	A	C	69 X 110	CE	G				RWX - villages named in red; some water grey; roads very faded.		Y		R			G			X						N																								B					H			Y		F	O		Y		Y	1		Mile Stones (pictorial, with distances), `The Cross' [Cardington north end, with St John's cross].	
PRO 14504	17.05.1994	Hunts RO CCS 39	HNT	Sawtry All Saints, Sawtry Saint Andrew, and part of Sawtry Saint Judith	Sawtry		Ps	E	Hunts RO has other copies: 86/8;  CON 4/2/21/5; and photos: 2147; PM 4/6; MC 7/8.	TL167837	172 SW		3400	3340.94	E	Mostly All Saints and St Andrew; fragmented parishes, which need map with field boundaries for reconstruction.  [OS acreage (3340.948) is Sawtry All Saints and St Andrew; St Judith is 2932.374.]	01.01.1809	6	Edwd Gibbons	C - parish colouring only.			M	A	C	151 X 77	CE	G				RDP - ground at base of post-mill.		Y	N							P	PS			T - parish names only.				Y	S														N												T		Y	Y		Y	O	Y	Y		Y	1			
PRO 15326	17.08.1994	Cheshire RO LBWd 3904	LNC	Widnes and part of Cronton	Appleton, Cronton, Widnes, Farnworth	Prescot	Ts	S		SJ518862	97 W		3400	4193.29	E	Title + 14 sheets, 1" to 180 feet.  It is apparent from marginal notes that there was also a 72-sheet map at 1:360!  Surveyed by SUR, 1875; engraved 1879 by Issac W. Petty & Son, Manchester, in generally OS style.  Made under Local Govt Act of 1858 for Wigan Local Board, whose insignia appears at the head of each sheet.  Fields shown; not numbered.  Rural part outdoes OS in quality of finish, although content is more in line with non-OS rural mapping.  SUR and date bottom left, engraver and date bottom right.  Broken names follow OS style, in that marginal completion is in italic, regardless of style used on the map proper.  34.6 X 23.0 within neat lines.  [OSA: Widnes, 3039:2:12; Cronton, 1153:2:35.]	01.01.1875	1.541666667	Henry C. Roper, C.E., Dudley				E	X	P	101 X 69 (x 15)	L	VG					YENPR - goods shed, viaduct with piers os-style.	Y			Y		QS					HIN - pubs in rural part only.				FN	YN	Y	X - apparently structural: masonry hatched, others dashed.		YN						Y - smiliar to woods, with annotation.		S - large ones only.					Y	F								T						Y	Y					Y	15		Spot heights (numerous) to .1 ft, BMs (above OD) to .01 ft.  Numerous named Chemical and Alkali Works, Reservoirs, Docks, Soap Works, Copper Works, Boundary Stones, Wesleyan Chapel, Well, Stocks, Chapel, School, Spinning & Canvas Works, Pleasure Gardens, Manure Works, crosses at boundary junctions (plain rather than OSI type), Steel Wire Works, School (R.C.) & Chapel (R.C.), Board School, Timber Yard, Volunteer Hall (47th Lancashire Rifles), Foundry, Borax & Alkali Works, Sulphur & Copper Works, Gas Works, various chapels, Accident Hospital, Lime Stone Works, Metal Works, Police Station, Market.	
PRO 14524	18.05.1994	Hunts RO CCS 43	HNT	Great Gransden	Great Gransden		P	E	Hunts RO has another copy, CCS 32, and photocopies, PM 2/15 and MC 7/8.	TL274568	187 S, 204 N		3402.285	3402.28	Y	SUR is from award.	26.11.1851	6	Alexander Watford				M	A	C	100 X 116	CE	G				RWEGK - exchanges inferred.		Y		R					T - partial.							D		Y																											T			Y		Y			Y		Y	1		Buildings in outline only.	
PRO 12591	22.07.1993	PRO MR 705	NFK	Winterton, East Somerton and West Somerton	Winterton-on-Sea, East Somerton and West Somerton		Ps	E	Norfolk RO: C/Sca 2/331 (traced map at /332, 1937 copy at /333); possible draft maps at BR 90/12/2, /14.  The 1828 amending award is at 18038-39.	TG480200	148 SE		3409.292	3409.29	Y	Award is at PRO CP 43/919 [rot 58].[OSA: Winterton, 1369.949; East Somerton, 831.234; West Somerton, 1208.109.]	03.03.1811	6*					M	A	C	121 X 78	PR	OK+				ROX - new roads only; public are sienna, private are green; new drains are yellow.										T	PT - x 2.					DN		Y																														Y					Y			1		No parish boundaries are shown.	
PRO 12637	26.07.1993	PRO MR 847	LIN	Helpringham	Helpringham		R	E	Original is at 17748; also at LAO: copy, Kesteven Award 88/4; traced version, Kesteven Award 95/22/3 [UFP].	TF147400	127 SE, 128 SW		3409.958	3409.95	Y	Award is at PRO CP 43/765 [rot 223].	03.03.1774	8	John Hudson				M	A	C	90 X 99	PR	G				G										M	PS					N																													Z - `trees'.		Y	Y		Y			Y	XRQX - For decoration of part covering east of district see SYM.  The part for the western half has a rococco mirror-surround with either porcupine quills or else a misjudged rising sun at the top.	Y	2	Hair-line sights, plain-table, chain-stakes, globe, draped something, bust, peacock appear above from scale of one part.	What appear to be wide drains are shown by double pecked lines which might be taken for RDS.	
PRO 17748	11.10.1995	LAO Helpringham Par. 17	LIN	Helpringham	Helpringham		R	E	PRO copy is at 12637; further LAO copies: copy, Kesteven Award 88/4; traced version, Kesteven Award 95/22/3.	TF147400	127 SE, 128 SW		3409.958	3409.95	Y		01.01.1774	8	John Hudson				M	A	C	83 X 99	O	G				WGP - water and north pointer and cartouche shading grey.		Y									PS			LT		DN																													I		Y	Y		N			Y	Large rococco, developing into leaves and flowers, with tropical shell at top and somewhat cross-eyed face looking out at bottom.	Y	2	Face, leaves, flowers: in CAR.	New Sluice.  Scale on long banner with tasselled ends.  Gothic for variety in title and for larger ALL (giving them enhanced prominence: e.g. Lord Willoughby de Broke) on the map.  CAR better drawn than the map.	X
PRO 14004	27.01.1994	Bdf MA 47/2	BDF	Thurleigh	Thurleigh		P	E	Beds RO has another copy of the map, MA 47/3.	TL056582	186 SE, 203 NE		3418.398	3418.39	Y	SUR are from award: both `land surveyors'.	02.02.1808	6	Marion Wolstead, Fenstanton, Huntingdonshire, and Thomas Bloodworth, Kimbolton, Huntingdonshire				M	A	C	78 X 134	L	G				BALX - old fields numbered in red.		Y									PT - central tower.							Y			YNU																			B - between estates only.					BT		Y	Y	Y	Y	Y		Y		Y	1			
PRO 12530	19.07.1993	PRO MR 432	BDF	Stagsden	Stagsden		P	E		SP980490	203		3419.152	3419.15	Y	Ex LRRO.	03.03.1828	6					M	A	C	98 X 130	X	G				RWGLOPX - scale diced and framed pink; viscount hampden's representatives get the biggest allotment, and no colour; old enclosures are pinkish brown.		Y									D							Y			YT - blue shadow.																			B					H			Y	Y				Y	Pink framing of scale.	Y	1			X
PRO 13995	27.01.1994	Bdf RO MA 53	BDF	Stagsden	Stagsden		P	E	PRO LRRO copy is at 12530.	SP980490	203		3419.152	3419.15	Y		03.03.1828	6					M	A	C	101 X 129	CE	G				RWAGLOP - grey buildings and woods; scale in slate-blue frame with lighter ditto inner frame; larger names infilled grey; old enclosures purplish-grey.  a luxuriously shades-of-grey effect		Y									CD							Y			U - in grey.																			B					B					Y						1			
PRO 14763	09.06.1994	Northants RO Inclosure plan no> 53	NTP	Naseby	Naseby		P	E	Northants RO has another (parish?) copy, 216P/20, another copy, Map 4916, and two photocopies, Maps 2164-5 and Map 2218.	SP690780	170 S, 185 N		3419.196	3419.19	Y		02.02.1823	6					M	A	C	111 X 134	CE	G+				BRGJPX - quarries yellow; open field bands various colours; north pointer and border include grey tint.							G				PS								Y																					B					H		R	Y			O	R	Y	XLQX - Title is on monumental slab, with flattish vase to right, trees in background, with a smaller blank slab resting against the main sarcophagus-slab, and what may be small dressed stones in foreground.	Ball-and-half-quatrefoil type; much smaller than Staffordshire variety.	1	Slab, stones, vase, trees: in CAR.	Whole parish has heathy ground, doubly impressive when combined with green ditto in the village.  Halberdish north pointer.  Spring, canal reservoir and feeder (canal company named, features not described).	
PRO 12364	07.07.1993	PRO MR 155	BDF	Houghton Conquest	Houghton Conquest		P	E	Original is at 14017, and a certified tracing at 13959.	TL046416	203 SE		3430.905	3430.90	Y	Award is at PRO KB 122/722 [rot 38].	01.01.1808	6	Thomas Evans				M	A	C	115 X 98	PR	G				RDNX - new enclosures numbered in red.		Y	NT																G		Y																			B		S	M		HT			Y	Y						Y	1		Style is very similar to 12363.  `Ends' are named.	
PRO 13959	25.01.1994	Bdf RO MA69	BDF	Houghton Conquest	Houghton Conquest		P	E	See 12364 for PRO original: Beds RO has another version, PC Houghton Conquest 16/1, but it is unclear if there is a map as well as an award.	TL046416	203 SE		3430.905	3430.90	Y	Certified tracing, 1924.	01.01.1808	6	Thomas Evans				M	A	L	124 X 104	X	G-				DNX - roads numbered in red.		Y	NT												P			Y	Q		Y																			B			M		HT			Y	Y	P	L				Y	1		No acreages.	X
PRO 14017	28.01.1994	Bdf RO PC Houghton Conquest 16/1	BDF	Houghton Conquest	Houghton Conquest		P	E	PRO copy is at 12364, and a Bdf RO tracing therefrom at 13959.	TL018239	203 SE		3430.905	3430.90	Y	Award says that SUR is of Ampthill, Beds, and carries note of enrollment in KB.	01.01.1808	6	Thomas Evans				M	A	C	110 X 97	L	G-				RDGX - allotments numbered in red.		Y	CT							P	PT				P						Y																			B			M					Y	Y	Y	P		Y	Top half of title surrounded by leaves and flowers.	Y	1	Leaves: in CAR.		X
PRO 15886	28.11.1994	Wilts RO 2027	WLT	Collingbourn Ducis	Collingbourne Ducis		P	E		SU243525	282 E, 283 W		3430.939	3430.93	Y	Enclosure by agreement: not in Tate & Turner.  Described in title as belonging to Rt Hon Earl of Ailesbury, though ALL indicate other owners.  Some coppices and woods have dates of cutting, 1782-93, presumably added later.  Agreement is at 9/9/15.	03.03.1777	6.67			A		M	A	C	150 X 72	O	G				BWLO		Y	N								PT	IN							Y	A	YNU		YNU - closer symbols than woods.									YU - heath so named is flecked black; downland is large green flecks.								B - + coloured.	B	F				Y	Y	Y		P	Y		Y	Standard-issue oval-with-hyacinths.	Y	1		Down broke up in 1738; various wood and coppice cutting dates.  Some fences within old-enclosed farms not mapped, but indicated in pencil.	
PRO 14291	28.03.1994	WSRO QDD/6/W12	SSX	Woolavington and Graffham	Graffham, East Lavington, West Lavington		Ps	E		SU933180	301 SW, 317 NW		3433.446	3433.44	E	[OSA: Graffham, 1713.660; East Lavington, 1719.786.]	02.02.1815	6	R.F. Gills, Fareham				M	A	C	75 X 163, 75 X 99	CE	G				BRAEN		Y - groups of dots.		PR			C		T - incomplete.									Y	Y																					B	B				T			Y					Y		Y	5			
PRO 15656	21.10.1994	Westml RO WQ/R/C 18	WML	Scalthwaite-rig, Hay and Hutton-ith-hay	New Hutton	Kendal	Ts	T		SD550920	39 S, 49 N		3433.894	3433.89	Y	Same author as 15638, etc.  All one township on OS 6-inch 1st edition.	02.02.1836	6					M	A	P	117 X 149	CE	G-				WO - pond only coloured; not all ownership is coloured.		Y														N					Y																												Y						Y	1		Boat Ho.	
PRO 14626	01.06.1994	Berks RO Q/RDc 60B	BRK	Warfield	Warfield		P	E		SU878720	269 W		3434.825	3434.82	Y		01.08.1817	6	I. Davis Junr.				M	A	C	103 X 129	CE	G				BRLP - grey scale dicing and buildings.			N															Y			YU - grey ground-tint.				Y - grey furrows.															B - distinctive `reedy' symbol.							Y	Y	Y	P					Y	1		Nicely executed essay, rather ahead of its time in style; cf Swire in Yorks WR.  No FBB or FAN.	
PRO 16099	06.01.1995	Wilts RO 1732/31	WLT	Donhead St Andrew	Donhead St Andrew		P	R		ST926240	297 SE, 313 NE		3435	2848.34	E	`Lower Donhead ... 1810 in title'; accompanying book of reference has a note of 14:6:1837 by the Rector: `This valuation of the Parish of Donhead St Andrew ... was made in ... 1812, for the purpose of assessing the lands thereof to the poor-rate by William Bond & John Rogers. - It was revised & re-written, without altering the value of the lands in any one instance, by Mr Green of Ludwell in ... 1836; whose object alone was in his [revision? - seems best] to distribute the lands according as they are now held by the existing farmers.'  Total acreage said to be about 3435: Wardour Park is not mapped, and the map only shows field boundaries and numbers.   Rector's engraved bookplate inside front cover.  Headings:  No. on Plan; Premises [FDN]; Quality [land use]; Measures; Collected Measures [holding]; Yearly Value [holding]; Yearly Value of Tithes [holding].	02.02.1837	16*					M	X	L	59 X 74	L	OK																																																												1			
PRO 17086	20.07.1995	ERRO RDB (C1)	YOE	Wetwang	Wetwang	Wetwang	T	E	Hull Uni Lib: DDSY/72/3.	SE928591	63 W		3436.525	3436.52	Y	Joint act and award (at CI/141/9) with 17087.	03.03.1806	8	John Dalton				M	A	C	136 X 66	RE	G				RWGPU - blue-grey north pointer shading.		Y					Q - + mortar pit.											Y																	P - valley edges, not subtle.										I		Y	Y					Y		Y	1		Ch. Yard: church as ordinary building. Well.	
PRO 12630	23.07.1993	PRO MPL 1	LIN	Gainsburgh and Thonock	Gainsborough		-	E	Original is at 17747.	SK825905	88 SE, 101 NE, 102 NW		3446.37	3446.37	E	Award is at PRO CP 43/883 [rot 100].  [SUR is from original award at LAO.]  [OSA is for Gainsborough.]	01.01.1795	7.5	Edmund Woodhead, Gainsburgh, Lincolnshire				M	A	C	69 X 61 (x 4)	PR	G				BRWL - woods and buildings grey.		Y	N				G											Y			YT																			B					T			Y		Y					Y	4		Earthworks.  One part is at 5 chains.  The Thonock part has no ALL, but is wholly hedged; earthworks are shown by sketchy hachures, and ? grass by ground symbol.	
PRO 17747	10.10.1995	LAO Gainsborough Par. Plans	LIN	Gainsburgh	Gainsborough	Gainsburgh	T	E	PRO version is at 12630; LAO also has a copy award and photocopy map, Lindsey Award 206.	SK825905	88 SE, 101 NE, 102 NW		3446.37	3446.37	X	Excludes Gainsborough town, but includes Lordship of Thonock, for which the tithes are commuted.  SUR from award.  One part at 5 chains.  [Maps are all explicitly dated `1795'; this is the date of the act, the award being signed in 1803.]  [OSA is for Gainsbrough.]	01.01.1795	7.5	Edmund Woodhead, Gainsburgh, Lincolnshire				M	A	C	70 X 61 (x 4)	O	G				RWGV - old enclosures on fine grey ground, which includes the whole of thonock; grey hedges and ponds (rivers not grey).																		Y			Y																			YU								Y		N					Y	4			X
PRO 13843	14.12.1993	Sur RO Q.S. 6/4/9	SUR	Byfleet and Weybridge	Byfleet, Weybridge		Ps	E		TQ072613	269 SE, 285 NE		3447.318	3447.31	Y	Map and award are held separately.  Map is rather faded.  [OSA: Byfleet, 2075.403; Weybridge, 1371.915.]	01.01.1801	12	Job Smallpeice				M	A	C	60 X 78	CE	G-				SGLN																NI		Y			YT - blue; ball-like wood near river might be osiers.																			B					T			Y					Y		Y	1		Ball-like wood near river might be osiers.	
PRO 16728	07.04.1995	Calderdale RO MP 14	YOW	Elland cum Greetland	Elland, Greetland	Halifax	-	R		SE086217	77 S		3448.137	3448.13	Y	Both sheets surveyed by SUR, but are drawn by different hands.  Rating assumed: no book of reference available.   `Gunter's Chains' on Greetland, `Statute Chains' on Elland part: Elland has `W.G.' in scale, so is perhaps authentic Greenwood, and neater trees.  (Railway (LYR) added later in red).  [CAT = T on OS 6" 1st edn.]	01.01.1831	4	W. Greenwood				M	X	C	142 X 74, 104 X 167	X	G				RWLPX - grey shading in elland scale; quarry grey-blue; field numbers on elland part numbered in green; one part of boundary on greetland part shaded carmine.		Y	NT				S - stipple, blue-grey tint.			XN				T		ANW - weir with masonry effect.	YLNT	Y			Y																												Y					Plain shaded ovals growing out of titles; gothic for variety.	Y	2			
PRO 17944	07.11.1995	NRO PD 127/75	NFK	Weasenham	Weasenham All Saints, Weasenham St Peter		P	X		TF850220	146 S		3448.754	3448.75	Y	Weasenham All Saints [OSA 2020.434], Weasenham St Peter [OSA 1428.320] and a small part of Wellingham.  Catalogue says John Browne, Norwich was SUR.  Award at C/Sca 2/317.  Offered by catalogue as `draft map', but is pre-enclosure.  No reference available; all fields numbered.	03.03.1806	9					M	B	P	79 X 86	X	OK				RDP - north pointer tinted grey.										P								Y			Y												N					R					P													1			
PRO 17590	27.09.1995	LAO Lindsey Award 43	LIN	Huttoft	Huttoft		P	E	LAO: tracing, Misc. Dep. 251/4; also Lindsey Award 102 [NFP].	TF523777	104 SW		3449.761	3449.76	Y	SUR from oath: not his usual style: no CAR or even title.	02.02.1780	9	John Hudson				M	A	C	85 X 54	CE	G				WGKP - scale diced grey and yellow.		Y					D				PT					D - named.																										S			I			Y		N			Y			1		Jolly Common Road is dot-dash on enclosed side.  [Apparently no road along sea bank at this time.]	
PRO 17756	11.10.1995	LAO Huttoft Par. 23/1	LIN	Huttoft	Huttoft		P	R		TF523777	104 SW		3449.761	3449.76	Y	Book of reference at Huttoft Par. 23/2.  On rollers.	01.01.1856	6	John Hill, Croft				M	X	C	128 X 96	L	G				SALM - church and chapel hatched red and white; not all roads coloured (? private).										U - the 1841 windmill: circular.				T - county.	V	DN		Y	Y		Y															Y - `sand hills': is really green and grey dab-effect: quite vivid.									B					P		Y			Y	1		Chapels (x 3), Bilsby Tunnel [to sea].   CTY in multi-alphabet title in gothic.  Roman Bank with pecked lines, no infill; Jolly Common Lane is coloured, but continuation north as East Field Road and branch to east (Little Ings Road) are not.	
PRO 14657	02.06.1994	Hants RO Q23/2/31	HMP	Crookham	Crookham Village		Y	E	Hampshire RO also has the parish copy, 9M79/PD3.	SU803530	284 NE, 285 NW		3450	9744.94	Y	Same Act as 14658, separate award (Q23/1/3, pp 1-67) and map.  SUR is on stylistic grounds.  [OSA is for Crondall parish.]	03.03.1834	6	? George Hewitt				M	A	C	145 X 104	CE	G+				SAEO									T - partial.					N - including bridge name.			YN	N			Y - sanitary trees.	Y - inferred frombol tree syms, of `bush' type.																		B					H		Y	Y	Y	N			Y		Y	2		Gothic NMS and bridge name.   (A colourful map in its day, now rather faded.)	
PRO 14247	23.03.1994	Oxf RO QSD/A, Vol 16	OXF	East Chadlington	Chadlington [Eastend]	Charlbury	H	E		SP335229	218 SW		3450.12	3450.12	Y	Style differs from 14246, but is similar to 14248; 14246-8 are part of the same award.	01.01.1812	6	Stephen Godson				M	A	C	42 X 123	L	G				BRGP - border; grey shading in north pointer and title.		Y					Q											Y	Y																					BP					Z - `w' at intervals.		Y	Y				R	Y		Cased grey.	1	Minature globe of the world tips north pointer (0.7 cm diameter).		
PRO 14248	23.03.1994	Oxf RO QSD/A, Vol 16	OXF	West Chadlington	Chadlington [Westend]	Charlbury	H	E		SP317229	218 SW		3450.12	3450.12	Y	Style is similar to 14247, but different from 14246.  14246-8 are part of the same award.	01.01.1812	6	Stephen Godson				M	A	C	94 X 115	L	G				SAGP - grey shade in title.		Y					Q									N			Y																					B					HT		Y	Y		Y	Y - old enclosures.	Y	Y		Cased blue-grey with outer frames.	1		Fish Ponds.  Some subdividing after original drawing had been executed, e.g. lots 78 and 79.  Sheep Wash, Cord Well.	
PRO 17388	05.09.1995	WSRO FL 589/1/5	SFK	Horningsheath or Horningsherth and Westley	Horringer, Westley		P	E		TL824622	189 S		3452.407	3452.40	Y	Award at FL 589/1/6.  Map duplicates coverage of 17387.   Westley church quite different here from 17387.  [Horringer, 2212.359; Westley, 1240.048.]	01.01.1815	8	R. Payne				M	A	C	82 X 100	X	G+				RDGNPU - direction star shaded grey.		Y		R					T - partial.	PN - bury st edmunds west mill.	PT+PX - pt at horningsheath, pt at westley.							Y	B		YN	N - as woods.																		Y			P		T		Y	Y	F		L		Y	XPQX - (1) title: SUR on stone, at foot of bushes and trees, one hollow, others with leaves, with birds overhead and church tower and Ickworth house and park in background; (2) tied hyacinths and olive over heading to reference to small enclosures; (3) petals over scale.	Y	1	Ickworth house: in situ and in CAR; trees, stone, birds: in CAR.	Ickworth new House (sic) shown pictorially, in situ.  Various boundary Trees (pictorial) and Stones.	
PRO 16867	20.06.1995	Derbs RO Q/RI 12	DRB	Barlborough	Barlborough		M	E	Derbyshire RO has another copy, D1480 A/PC 1.	SK476773	100 SE		3453.183	3453.18	Y	Award at Q/RI 2/659.  20-chain map of whole manor, plus three parts at 4 chains of enclosures in open fields.  Main map dated 1798, open fields dated 1802.	01.01.1802	20	Wm Fairbank				M	C	C	35 X 47, 74 X 46	CE	G+				BRWLNOP - owners only coloured on 4-chain part, which has grey scale dicing; grey buildings; on 20-chain map, former commons are green and former open fields are pink.		Y	N															Y			YNU - dark blue-grey, with grey edge-bands.												N					Y										Y	M - halls only.	Y	O		R	Plain oval on main map.	Y	4		Dam (named).	
PRO 14519	18.05.1994	Hunts RO TLR 379 A-D (Acc. 1778)	HNT	Bluntisham and Earith	Bluntisham, Earith		P	E	Hunts RO also has photocopies, PM 1/7 and MC 7/8.	TL367743	172 SE, 187 NE		3456.55	3456.55	Y	Act and award also cover Colne, see 14520.  Scale pencilled on, but has been checked.  SUR from award (CCS 9).	03.03.1820	6*	Marion Welstead, Fenstanton				M	A	C	148 X 103	X	OK				RWG - water grey.		Y	N				G			P	PS					IN																								B					T			Y			X - groups of old enclosures.		Y	Multiple circles round title.	Y	1		Bank (rough herringbone).	
PRO 17612	28.09.1995	LAO Lindsey Award 77	LIN	Scawby	Scawby		P	E	Original award at Grimsby RO: described at 17678. Another original map at LAO, at 18127.	SE972051	89 N		3460.072	3460.07	Y	Transcript prepared by County Surveyors Dept in 1932, on linen.  Buildings in outline only; unclear how much has been omitted.  SUR not given in award.	02.02.1770	8*					M	A	-	104 X 59	UT	-																				N	Y																												I		Y	Y					Y			1			X
