claims_id	struct_idx	county	phillimore	vill	holding	ten_in_chief	lord_86	overlord_66	lord_66	claimant	defendant	jurors	xref	notes	text
3700	17487	LC	CN13	Swallow & Laceby?	1 carucate & manor of Laceby	Archbishop of York & Bishop Odo of Bayeux	Archbishop of York & Bishop Odo of Bayeux	-	Fulcric & Erik <of Tealby>	Bishop of Bayeux?	Archbishop of York	North Riding [Bradley Wapentake]	"2,10. 4,69-71"	"The 1 carucate was probably the archbishop's since Rainer held Cuxwold, of which Swallow (2,9) was a dependency; Odo also had a carucate there. Rainer was an intermediate holder, the predecessor from whom title derived. See also CN9;11;18;23"	Rainer the deacon was in possession of 1 carucate of land in Swallow when he left this land. Likewise the same Rainer the deacon was in possession of Erik <of Tealby>'s land which is in Grimsby hundred; now the Bishop of Bayeux has it.
3720	17488	LC	CN14	Grimsby	toll	Ralph of Mortimer & Bishop Odo of Bayeux	Ralph of Mortimer & Bishop Odo of Bayeux	-	Erik <of Tealby> & Tosti <of Sawtry> & Edeva	King William?	Ralph of Mortimer & Bishop Odo of Bayeux & Losoard	North Riding [Bradley Wapentake]	"4,70. 36,1"	"Ferries are recorded in Grimsby on the fief of Ralph of Mortimer and of the Bishop of Bayeux, whose man Losoard was (4,8;41;61-64); tolls are not mentioned there."	"Ralph of Mortimer's men and Losoard's men receive a new toll in Grimsby, which did not exist before 1066, but Losoard denies that his men did it on his authority."
3740	17489	LC	CN15	Owersby	2 1/2 bovates	Bishop Odo of Bayeux & Bishop of Lincoln	Bishop Odo of Bayeux & Bishop of Lincoln	-	Ernwin & Auti & Gamal	Bishop Odo of Bayeux & Bishop of Lincoln	Roger of Poitou	North Riding [`Walshcroft' Wapentake]	"16,8"	"The lands of Winghal church lay in Owersby, where both bishops held land (4,74. 7,28)"	The Bishop of Bayeux and the Bishop of Lincoln ought to have jurisdiction over 2 1/2 bovates of land which lies in [the lands of] the church of Winghale.
3760	17490	LC	CN16	Owersby	1/2 carucate	Siward the priest	Siward the priest	-	Ernwin the priest	Siward the priest	Bishop Odo of Bayeux	North Riding [`Walshcroft' Wapentake]	"68,42"	"The jurisdiction is not recorded on either Siward's or the bishop's (4,74) holdings."	"In Owersby hundred the Bishop of Bayeux has jurisdiction over 1/2 carucate of land which was Ernwin the priest's, and is now Siward the priest's."
3780	17491	LC	CN17	Osgodby	1/2 bovate	Jocelyn son of Lambert?	Jocelyn son of Lambert?	-	Osfram	Jocelyn son of Lambert?	-	North Riding [`Walshcroft' Wapentake]	"68,22?"	"Perhaps a reference to part of 4 bovates in Keisby whose jurisdiction lay in Osgodby; no 1086 holder is recorded for this land. Jocelyn had two holdings in Osgodby, both jurisdictions of his manor of Tealby (28,20;22;24)."	In Osgodby Jocelyn son of Lambert ought to have jurisdiction ?rq? over 1/2 bovate of land.
3800	17492	LC	CN18	Tealby	manor	Jocelyn son of Lambert	Jocelyn son of Lambert	-	Erik <of Tealby>	Rainer of Brimeux	Jocelyn son of Lambert	North Riding [`Walshcroft' Wapentake]	"28,20-24. 40,14"	"Rainer was an intermediate holder, the predecessor from whom title derived. See also CN9;11;13;23. Neither Count Alan nor his main predecessor held in the wapentake so the basis of his jurisdiction is not apparent."	In Tealby hundred Rainer the deacon had Erik <of Tealby>'s land with all that belongs there. Jocelyn holds it and Rainer claims it. The Riding testifies that Count Alan's predecessor had the jurisdiction but they do not know of what type.
3820	17493	LC	CN19	Claxby	1 mill	Jocelyn son of Lambert	Jocelyn son of Lambert	-	Alwin	Jocelyn son of Lambert	Geoffrey	North Riding [`Walshcroft' Wapentake]	"14,11"	"The details identify the holding as 14,11. Jocelyn had a jurisdiction in Claxby (28,23)."	"In Claxby Jocelyn son of Lambert ought to have 1 mill which Geoffrey, Ivo Tallboys' man, seized against his [will]."
3840	17494	LC	CN20	Croxby	1 garden	Ivo Tallboys	Ivo Tallboys	-	Siward	William Blunt	Ivo Tallboys	North Riding [`Walshcroft' Wapentake]	"14,15"	"Ivo had 3 mills at Croxby where William Blunt also held land (49,2)"	"In Croxby William Blunt ought to have 1 garden in Ivo Tallboys' land, but he is prevented [from doing so] on account of a mill which was not there before 1066."
3860	17495	LC	CN21	Fulstow	40 acres of meadow & 4 plots	Bishop of Durham & Count Alan	Bishop of Durham & Count Alan	-	Healfdene & Almer & Rothulfr & Esbiorn	Count Alan?	Bishop of Durham?	North Riding [`Haverstoe' Wapentake]	"3,6. 12,19"	"The holdings of bishop and count were in 3,6 and 12,19 respectively; it is unclear who was claiming against whom."	"In Fulstow the Bishop of Durham ought to have 40 acres of land - of meadow - and 4 plots, and Count Alan jurisdiction over them, as the Wapentake says."
3880	17496	LC	CN22	Fulstow	1 carucate & 1 salt-house	Count Alan	Count Alan	-	Eskil	Count Alan & Drogo (of la Beuvriﬁre)	Robert the bursar	North Riding [`Haverstoe' Wapentake]	"38,14"	Count Alan also held in Fulstow but the interest of Drogo - presumably Drogo of la Beuvriﬁre -  is not apparent.	"In the same village ^[Fulstow]^ they judge that Count Alan has jurisdiction over 1 carucate of land in Robert the bursar's land, and Drogo ought to have 1 salt-house there which he claims, and Count Alan jurisdiction over it."
3900	17497	LC	CN23	Cuxwold	manor	Archbishop of York	Archbishop of York	-	Fulcric	Rainer of Brimeux	Archbishop of York	North Riding [`Haverstoe' Wapentake]	"2,9"	"Rainer was an intermediate holder, the predecessor from whom title derived. See also CN9;11;13;18. The archbishop held Swallow, a jurisdiction of Cuxwold (2,10); Rainer did not hold in the vill or the wapentake or succeed Fulcric elsewhere."	Rainer the deacon was in possession of Fulcric's land in Cuxwold when he left this land. Now Archbishop Thomas holds it; Rainer of Brimeux claims it.
3920	17498	LC	CN24	Cuxwold	2 bovates	Hugh son of Baldric	Hugh son of Baldric	-	Grimkel	William of Percy	Hugh son of Baldric	North Riding [`Haverstoe' Wapentake]	"25,10"	"Hugh's holding was of 3 bovates Both Hugh (25,9) and William Percy (22,9-10) had holdings in Cuxwold which were outliers of Cabourne held by Grimkel, a possible source of confusion"	"Also in Cuxwold William of Percy ought to have 2 bovates of land, which he claims, in Hugh son of Baldric's land. The Wapentake testifies in favour of him."
3940	17499	LC	CN25	[Wold] Newton	Hall	Bishop of Durham	Bishop of Durham	-	Grimkel	Count Alan	Bishop of Durham	North Riding [`Haverstoe' Wapentake]	"3,7"	The bishop's holding in Wold Newton records 'a hall with a plot and full jurisdiction'.	"The Wapentake says that Count Alan ought to have jurisdiction over Grimkel's Hall, whose land the Bishop of Durham has in [Wold] Newton."
3960	17500	LC	CN26	[Wold] Newton	3 bovates	Count Alan	Count Alan	-	Ingimundr & his 3 brothers	Count Alan	Kolsveinn of Lincoln	North Riding	"12,31"	"The brothers were probably One, Edric and Ecgwulf (12,29)."	"Kolsveinn [* of Lincoln *] did not deliver the land of Ingimundr and his brothers to Count Alan, but the same Ingimundr made it subject to this Count on account of other land which he held from him."
3980	17501	LC	CN27	[North] Ormsby	4 1/2 carucates	Drogo of la Beuvriﬁre	Geoffrey (of Aalst)	-	Ulf & Skemundr	Bishop of Lincoln	Drogo of la Beuvriﬁre	North Riding [Ludborough Wapentake]	"32,20"	"The bishop held 13 bovates in Ormsby but these were a jurisdiction of Wyham, held by Rothulfr; the claim probably refers to the 4 carucates and 7 bovates held by Ulf and Skemundr which do not mention Stow or the bishop: see Whitelock, Wills, no. 39."	"The North Riding, and all the County, testifies that the land of Ulf in [North] Ormsby, that is 4 1/2 carucates of land, was sold to St Mary's of Stow before 1066 and it lay in its [lands] in 1066, and later on Bishop Remigius was in possession of it."
4000	17502	LC	CN28	[North] Ormsby	3 dwellings	Ivo Tallboys	Wimund	-	Alwin	Ivo Tallboys	Drogo of la Beuvriﬁre	North Riding [Ludborough Wapentake]	"14,65"	"The printed notes identify {Schemin} as Skemundr and the holding as that at 30,20; but Ivo's holding(14,65)  is the one specified."	"In {Schemin} [* [North] Ormsby *] in Ivo Tallboys' land Drogo [* of la Beuvriﬁre *] claims 3 dwellings which he ought to have, by witness of the Wapentake, with full jurisdiction."
4020	17503	LC	CN29	Fotherby	5 bovates	Robert of Tosny	Berengar of Tosny	-	Thorgot Lagr	Bishop of Durham	Berengar of Tosny	North Riding [Ludborough Wapentake]	"18,9"	"Berengar's 4 carucates and 5 bovates at Fotherby was a jurisdiction of Binbrook (18,7); it was presumably these 5 bovates which the bishop claimed, in addition to his 7 bovates in the vill (3,20), Berengar retaining the jurisdiction."	"In Fotherby, the land of Berengar of Tosny, the Bishop of Durham ought to have 5 bovates of land and Berengar [* of Tosny *] jurisdiction over it."
4040	17504	LC	CN30	-	-	Bishop of Durham & Eudo son of Spirewic	Bishop of Durham & Eudo son of Spirewic	Sighvatr & Godwin?	Alnoth & Fenkell & Eskil	Bishop of Durham & Eudo son of Spirewic	Bishop of Durham & Eudo son of Spirewic	North Riding [Ludborough Wapentake]	"3,21-26;43-47. 29,10-13;16-17;30-32"	"Eudo acquired the lands of Sighvatr (29,10), and the bishop of Durham those of his brothers (3,21-26;43-47). Their father was probably the Godwin who held 29,11-13;16-17;30-32.  See also CS38"	"The Wapentake, and the whole County, testifies that the Bishop of Durham ought to have the land of 3 brothers with full jurisdiction, and Eudo son of Spirewic the land of the fourth brother, likewise with full jurisdiction: their names are Sighvatr - or Godwin - Alnoth, Fenkell and Eskil."
4080	17506	LC	CW1	Burton	3 carucates	Swartbrand (son of Ulf)	Swartbrand (son of Ulf)	-	Alnoth	Swartbrand (son of Ulf)	-	West Riding `Lawress' Wapentake	"68,1"	"Four other tenants-in-chief held in Burton, their holdings all being dependencies of other manors (7,9. 18,5. 24,3. 60,1); the full jurisdiction claimed for Swartbrand would give title against possible claims from those four."	"`Lawress' Wapentake testifies that Alnoth had full jurisdiction over his land, 3 carucates in Burton. Now Swartbrand [* son of Ulf *] has it after him."
4100	17507	LC	CW2	Riseholme	4 bovates	Abbey of Peterborough	Abbey of Peterborough	-	Alnoth	Ernwin the priest	Abbey of Peterborough	West Riding [`Lawress' Wapentake]	"8,13. C16"	"Kolsveinn held as a tenant of the abbey (8,13). The circumstances in which the abbey acquired the church of All Saints and its land are detailed in C16, where Ernwin's claim is explained."	"The Abbot of Peterborough claims 4 bovates of land in Riseholme, Kolsveinn [* of Lincoln *]'s land, and the Wapentake testifies that before 1066 they lay in [the lands of] the church of All Saints in Lincoln."
4120	17508	LC	CW3	`[Middle] Carlton'	land	Norman the fat	Norman the fat	-	Aghmund	Jocelyn son of Lambert	Norman the fat	West Riding [`Lawress' Wapentake]	"33,1"	"Aghmund was Jocelyn's main predecessor (28,4;10-11;14-18;25-32;36;42-43), and Norman had succeeded Guthroth in C3 so the dispute concerned the terms of the pledge."	"Three burgesses of Lincoln, Guthroth, Leofwin and Sigewine, before 1066 held in pledge from Aghmund the land which Jocelyn son of Lambert claims in `[Middle] Carlton' against Norman the fat."
4140	17509	LC	CW4	Scampton	˙3 and 1 gold mark	Gilbert of Ghent?	Gilbert of Ghent?	-	Ulf Fenman?	Gilbert of Ghent?	Norman the fat & Ivo Tallboys	West Riding [`Lawress' Wapentake]	"24,1?"	"As neither Norman or Ivo Tallboys held in Scampton, Norman presumably acted as an official of the sheriff in extorting this money. Gilbert of Ghent held the only substantial holding in Scampton (24,1-4;6-7;9)."	"In Scampton Norman the fat added ˙3 and 1 gold mark, and he pledged this to Ivo the sheriff."
4160	17510	LC	CW5	Scothern	4 1/2 bovates	Kolsveinn (of Lincoln)	Kolsveinn (of Lincoln)	-	Godric	Norman of Arcy	Kolsveinn (of Lincoln)	West Riding [`Lawress' Wapentake]	"26,5"	"Norman succeeded Godric elsewhere in Scothern (32,29); Kolsveinn presumably held the 4 1/2 bovates as a dependency of his manor of Scothern (26,4)."	"In Scothern hundred before 1066 Godric, Norman ^[of Arcy]^'s predecessor, had 4 1/2 bovates of land, as the Wapentake testifies."
4180	17511	LC	CW6	Scothern	1 carucate	Abbey of Peterborough	Abbey of Peterborough	-	Abbey of Peterborough	Gilbert of Ghent	Abbey of Peterborough	West Riding [`Lawress' Wapentake]	"8,2"	"The abbey held jurisdictions of 5 1/2 carucates in Scothern and 2 other vills; although Gilbert had a substantial manor in `Lawress' wapentake, the basis of his claim is not apparent."	In the same hundred ^[Scothern]^ Gilbert of Ghent claims 1 carucate of land against the Abbot of Peterborough. But the Wapentake testifies that St Peter's had this land with its jurisdiction in 1066.
4200	17512	LC	CW7	Nettleham	2 bovates	King William	King William	-	Queen Edith	Bishop of Lincoln	King William	West Riding [`Lawress' Wapentake]	"1,35-36"	"Not recorded in the text; but the bishop held the royal manor of Nettleham (1,35-36) in the Lindsey survey: Keats-Rohan, Domesday People, p. 79."	In Nettleham hundred Bishop Remigius claims 2 bovates of land and the Wapentake testifies he ought to have them himself.
4220	17513	LC	CW8	Reepham	woodland	Abbey of Peterborough	Abbey of Peterborough	-	Abbey of Peterborough	Ranulf of St Valery & Kolsveinn (of Lincoln)	Abbey of Peterborough	West Riding [`Lawress' Wapentake]	"8,3"	"All three parties (and no others) held land in Reepham: 8,3. 26,9. 43,5."	The Wapentake says that St Peter's of Peterborough ought to have the fourth part of the woodland which Ranulf and Kolsveinn [* of Lincoln *] claim in Reepham.
4240	17514	LC	CW9	Sturton[-by-Stow]	8 carucates	Bishop Odo of Bayeux	Ilbert	-	Ulfkil & Asfrith & Restelf & Wulfmer	Bishop of Lincoln?	Bishop Odo of Bayeux	West Riding [`Well' Wapentake]	"4,3"	"This may imply a claim by the bishop of Lincoln (who acquired the lands of St Mary's of Stow) since the land in Sturton had presumably been forfeited. There was no earl in 1086, his rights devolving on the Crown."	"The Wapentake testifies that Ulfkil, Asfrith, Restelf and Wulfmer had full jurisdiction over their lands and over their men in Sturton[-by-Stow] hundred. St Mary's [* of Stow *] has 2 parts of the jurisdiction over the forfeiture in the Wapentake, and the Earl the third. Now the King [has it]. Likewise concerning heriot. If they had forfeited their land, St Mary's would have had 2 parts and the Earl the third."
4260	17515	LC	CW10	[Gate] Burton & Willingham[-by-Stow	1 carucate	Count Alan	Count Alan	-	Gunnhvati & Steingrimr	Bishop of Lincoln	Count Alan	West Riding [`Well' Wapentake]	"12,1-3"	"This may imply a claim by the bishop of Lincoln (who acquired the lands of St Mary's of Stow). {Broctone} does not occur in the text. There was no earl in 1086, his rights devolving on the Crown."	"The Shire testifies that Gunnhvati's land - 1 manor of 1 carucate in lordship - was forfeited, 2 parts [going] to St Mary's [* of Stow *] and the third part for the Earl's use. Likewise concerning all the jurisdiction which belongs to [Gate] Burton or {Broctone}. Likewise also concerning Steingrimr's land, 18 bovates of land."
4280	17516	LC	CW11	`Well' Wapentake	forfeitures	Bishop of Lincoln?	Bishop of Lincoln?	-	Thorgot (Lagr) & Ulf Fenman	Bishop of Lincoln?	?	West Riding `Well' Wapentake	"18,4. 24,9"	This may imply a claim by the bishop of Lincoln (who acquired the lands of St Mary's of Stow). Several tenants-in-chief held land in `Well': 8 tenants-in-chief other than the bishop held in `Well' wapentake; but not apparently Ralph of Mortimer.	"Concerning all the thanes who have land in `Well' Wapentake, St Mary's has 2 parts of the forfeiture, the Earl the third; likewise concerning heriot. Likewise if they had forfeited their land, two parts [would have been] in St Mary's [* of Stow *] and the third part in the Earl's hands. Now the King has it. In this custom Gilbert of Ghent does not partake nor Robert of Tosny nor Ralph of Mortimer because of their predecessors."
4300	17517	LC	CW12	Willoughton?	17 1/2 bovates?	Waldin the artificer?	Waldin the artificer?	-	Grimkel	Ralph Payenel?	Waldin the artificer?	West Riding	"47,1 or 35,1-2?"	"The Claims here appear to concern `Aslacoe, in which case Grimkel's estate was Willoughton (47,1), which does not mention Merleswein. Possibly Broughton in `Lawress', where Grimkel held and Ralph Payenel succeeded Merleswein (35,1-2), is intended."	"Before 1066 Grimkel had full jurisdiction over his land, but in 1066 he forfeited it and gave it to Merleswein the sheriff, because he stood accused before the King, and made him heir to it."
4320	17518	LC	CW13	Owmby[-by-Spital]	10 bovates	Jocelyn son of Lambert & Ivo Tallboys	Jocelyn son of Lambert & Ivo Tallboys	-	Aghmund & Koddi	Bishop of Lincoln	Jocelyn son of Lambert & Ivo Tallboys	West Riding [`Aslacoe' Wapentake]	"28,4. 14,21"	"The bishop's claim to jurisdiction is acknowledged in both entries; the jurisdiction presumably lay in Stow (7,1)"	In Owmby[-by-Spital] Jocelyn has 9 bovates of Aghmund's land and Ivo 1 bovate. Bishop Remigius ought to have the jurisdiction of these.
4340	17519	LC	CW14	Northorpe	1 carucate	Abbey of Peterborough	Ralph of Neville	Siward Rufus?	Eskil	King William	Ralph of Neville	West Riding [`Aslacoe' Wapentake]	"8,16"	"Eskil, not Siward Rufus, is named as the pre-Conquest landowner in 8,16; Siward was possibly his overlord. The 1086 tenant is named, not Ralph, possibly a scribal error: Foster & Langley, p. 56."	"In Northorpe hundred Siward Rufus had 1 carucate of land with full jurisdiction before 1066, and more recently Ralph of Neville held it from Abbot Turold, but he did not have a deliverer for it. Now it is adjudged for the King's use."
4360	17520	LC	CW15	Laughton	1 1/2 carucates	Roger of Poitou	Blancard	Ulfgrim	Swein	Guy of Craon	Roger of Poitou	West Riding [`Aslacoe' Wapentake]	"16,28. 57,7-9"	"Swein's 1 1/2 carucates in Laughton is described as a manor not a jurisdiction but marked as subject to a claim by a marginal 'k'; Guy's holding in the same vill is recorded in 57,7."	"In the same hundred ^[Northorpe]^ in Laughton village Guy of Craon claims jurisdiction over Swein's land through his predecessor Ulfgrim, and the Wapentake testifies that Ulfgrim himself had full jurisdiction over the same Swein before 1066."
4380	17521	LC	CW16	Scotton & Scotter & Raventhorpe	5 manors	Abbey of Peterborough	Abbey of Peterborough	-	Eskil brother of Brand	King William?	Abbey of Peterborough	West Riding [Corringham Wapentake]	"8,15;17;23"	"The abbey derived its title from Eskil, who subsequently bequeathed these and other manors to the abbey. Manton is attributed to Rothulfr in the text (8,20), and Muskham to the abbey (NTT 8,2). Rothulfr held other manors bequethed by Eskil (8,14;22)."	"The Shire testifies that in 1066 and later Eskil ^[brother of Brand]^ had from King Edward these three manors, Scotton, Scotter and Raventhorpe, under his free authority. Likewise he had Muskham in Nottinghamshire. He held 1 manor, Manton, on lease from his brother [* Abbot *] Brand, the monk."
4400	17522	LC	CW17	Epworth & Haxey & Belton & Amcotts	6 1/2 carucates	Geoffrey of la Guerche	Wazelin <of Haxey>	-	Siward Barn & Ulf Fenman	Norman the fat & & Gilbert of Ghent & Henry of Ferrers	Geoffrey of la Guerche	West Riding Epworth Wapentake	"63,7;12;17;25"	"Ulf Fenman was the principal predecessor of Gilbert of Ghent, and Siward Barn (not named in 63,17) of Henry. Norman the fat did not hold in the wapentake so the basis of his claim is not apparent."	"The West Riding testifies that the claims which have been [made] in Epworth Wapentake have been rightly made. [a] Norman the fat claims 7 bovates of land against Geoffrey of la Guerche in Haxey. [b] Gilbert of Ghent claims 4 carucates of land and 6 bovates against Geoffrey himself. This is Ulf Fenman's land in Belton. [c] Henry of Ferrers claims 3 bovates of land against Geoffrey himself. This is Siward Barn's land in Amcotts. [d] Again, Gilbert of Ghent claims 1/2 carucate of the jurisdiction in Belton against the same Geoffrey which was Ulf Fenman's."
4420	17523	LC	CW18	Walcot	6 bovates & 2 plots	Erneis of Buron	John <of Orton>	-	Veggi	Gilbert of Ghent	Erneis of Buron	West Riding [`Manley' Wapentake]	"34,25"	"Gilbert also held in Walcot (24,93), a jurisdiction of his manor of Folkingham (24,82-105), acquired from his principal predecessor, Ulf Fenman."	"The Wapentake testifies that in Winteringham hundred Erneis of Buron ought to have Veggi's land, that is 6 bovates of land and 1 plot in Gilbert of Ghent's jurisdiction and another plot with full jurisdiction."
4440	17524	LC	CW19	Thealby	1 plot	King William	King William	-	King Edward	Ralph Payenel	King William	West Riding [`Manley' Wapentake]	"1,64"	"Ralph had several holdings in `Manley' wapentake but none in Thealby; the king's jurisdiction in Kirton is recorded in 1,64."	In Thealby hundred Ralph Payenel claims 1 plot. The Wapentake says that he ought to have it himself and the King the jurisdiction in Kirton[-in-Lindsey].
4460	17525	LC	CW20	Normanby	3 bovates	Drogo of la Beuvriﬁre	Jocelyn	-	3 brothers	Norman of Arcy	Drogo of la Beuvriﬁre	West Riding [`Manley' Wapentake]	"30,3"	Norman had several holdings in `Manley' wapentake but none in Normanby; Drogo held 5 carucates in the vill.	Norman of Arcy claims 3 bovates of land in Normanby against Drogo [* of la Beuvriﬁre *]. The Wapentake says that the land ought to be his and the jurisdiction Drogo's.
4500	17527	LC	CK1	Uffington & Tallington & Casewick & Deeping [St James]	14.75 carucates	Alfred of Lincoln	Alfred of Lincoln	-	Arnbiorn & Wulfgeat	Robert of Tosny? or Godfrey of Cambrai?	Alfred of Lincoln	Kesteven `Ness' Wapentake	"27,34;37-39"	"This statement may have been made to clarify the Alfred's title since Robert of Tosny and Godfrey of Cambrai had predecessors named Arnbiorn in 3 of the 4 named vills: 18,11-12. 51,2."	"`Ness' Wapentake and the whole Riding have testified that the land of Wulfgeat and his mother Wulffled was not Arnbiorn's, his sister's relative, and he only had it in charge until Wulfgeat could hold the land: that is, 7 carucates in Uffington, 6 1/2 carucates in Tallington, 6 bovates in Casewick and 4 bovates - 1/2 carucate - in East Deeping [* Deeping [St James] *]."
4520	17528	LC	CK2	Belmesthorpe & Uffington	60 acres of land & 48 acres of meadow	Countess Judith	Countess Judith	-	Abbey of Peterborough	Abbey of Peterborough	Countess Judith	Kesteven [`Ness' Wapentake]	"56,4"	"The essential facts are repeated in the entry in the fief of the countess (56,4); Alfred's holding is recorded in 27,34-35."	"The Wapentake says that before 1066 St Peter's of Peterborough had 60 acres of land which Countess Judith has and cultivates with ploughs from Belmesthorpe. The {warnode} of these 60 acres of land and of 48 acres of meadow lies in Uffington [the land] of Alfred of Lincoln, but it has been kept back by force"
4540	17529	LC	CK3	Barholm	1/2 carucate	Gilbert of Ghent	Gilbert of Ghent	-	Azur	Gunfrid of Chocques	Gilbert of Ghent	Kesteven [`Ness' Wapentake]	"24,35"	"The 1/2 carucate was held by Gilbert of Ghent as a jurisdiction of Gunfrid's manor of Casewick (52,1); the jurors state that Gunfrid should have the land as well as the jurisdiction."	The Wapentake says that Azur's 1/2 carucate of land in Barholm ought to be Gunfrid of Chocques'.
4560	17530	LC	CK4	Barholm	12 bovates	Abbey of Peterborough	Abbey of Peterborough	-	Hereward <of Witham>	King William	Abbey of Peterborough	Kesteven [`Ness' Wapentake]	"8,35"	"This is presumably stated to clarify the title of the abbey, since the land of an outlaw would be forfeit to the Crown. This Hereward is the famous outlaw, commonly known as Hereward 'the Wake'."	The Wapentake says that Hereward <of Witham> did not have Asfrith's land in Barholm hundred on the day he fled.
4580	17531	LC	CK5	Burton[-le-Coggles]	6 bovates	Ralph Payenel	Oger (the Breton)	-	Earl Morcar	Oger the Breton?	Ralph Payenel	Kesteven [`Beltisloe' Wapentake]	"35,13"	"Merleswein was Ralph's principal predecessor so the statement impugns Ralph's title, though to whose benefit is unclear: possibly the king, or perhaps Oger who had acquired his main holding from Earl Morcar (42,1-7)."	"Ralph Payenel has 6 bovates of land of [* Earl *] Morcar's land in Burton[-le-Coggles] hundred, but Merleswein did not have it before 1066."
4600	17532	LC	CK6	Witham[-on-the-Hill]	1 bovate	Drogo of la Beuvriﬁre	Drogo of la Beuvriﬁre	-	Ulf	Gilbert of Ghent & Abbey of Peterborough	Drogo of la Beuvriﬁre	Kesteven [`Beltisloe' Wapentake]	"30,32"	"Both claims are repeated in the entry on Drogo's fief (30,32). Gilbert's manor of Edenham is recorded in 24,25, and the abbey's manor of Witham in 8,34."	The Abbot of Peterborough claims 1 bovate of land against Drogo [* of la Beuvriﬁre *] in Witham[-on-the-Hill] hundred. The Wapentake says that the land ought to be St Peter's and the jurisdiction Gilbert of Ghent's in Edenham.
4620	17533	LC	CK7	[Little] Bytham	1 carucate	Abbey of Peterborough	Abbey of Peterborough	-	Abbey of Peterborough	Radbod	Abbey of Peterborough?	Kesteven [`Beltisloe' Wapentake]	"8,7"	"Radbod is not named in the text. Both the abbey and Drogo of la Beuvriﬁre (30,31) had holdings of a carucate or more in [Little] Bytham."	"In [Little] Bytham hundred Radbod ought to have 1 carucate of land which he claims, but the jurisdiction is St Peter's of Peterborough."
4640	17534	LC	CK8	Skillington	4d	Archbishop of York	Archbishop of York	-	Earl Morcar	Bishop of Lincoln	Archbishop of York	Kesteven [`Beltisloe' Wapentake]	"2,37"	"The archbishop's manor of Skillington (2,37) records 'pasturable woodland' of 60 acres in the {warnode} of Bishop Remigius. Neither archbishop or bishop held in Little Bytham so the implication of this statement is not apparent."	They say that the {warnode} of 4d from 60 acres of woodland which lies in Skillington belongs in [Little?] Bytham.
4660	17535	LC	CK9	Irnham	13 acres of woodland & 25 acres of arable	Robert of Tosny	Robert of Tosny	-	Arnbiorn	?	Robert of Tosny	Kesteven [`Beltisloe' Wapentake]	"18,19"	"Neither of the holdings in Irnham (27,41. 35,14) mention Arnbiorn so the implication of this statement is unclear."	They say that Arnbiorn had 13 acres of woodland and 25 acres of arable land in Irnham and that it belongs to Aslackby which Robert of Tosny has.
4680	17536	LC	CK10	Lenton & Skillington	4 carucates	Archbishop of York	Archbishop of York	-	Ulf son of Topi	Archbishop of York	King William?	Kesteven [`Beltisloe' Wapentake]	"2,42"	"The archbishop held in Lenton and Skillington but not Hardwick, only Lenton being recorded as acquired from Ulf. Skillington (2,37) had been held by Earl Morcar and Hardwick by Queen Edith (T2-4): see Whitelock, Wills, no. 39. Ilbold is not named in DB."	"Archbishop Aldred acquired Lenton and Skillington, with the outlier Hardwick, from Ulf son of Topi with his own money which he gave him in the sight of the Wapentake; later they saw the King's seal through which he was possessed of these lands because Ilbold had dispossessed him of them."
4700	17537	LC	CK11	Ashby[-de-la-Launde]	3 1/2 carucates	Kolsveinn (of Lincoln)	Kolsveinn (of Lincoln)	-	Eskil	Ralph Payenel	Kolsveinn (of Lincoln)	Kesteven [`Flaxwell' Wapentake]	"26,49"	"This section appears to refer to `Flaxwell' Wapentake, where Eskil held in Ashby. Ralph acquired another holding in the vill from Merleswein (35,15), his predecessor, so denial of Merleswein's superiority may imply rejection of a claim made by Ralph."	The Wapentake says that Eskil was the King's thane and never had his land under Merleswein.
4720	17538	LC	CK12	Rauceby	6 bovates	Geoffrey Alselin?	Geoffrey Alselin's nephew?	-	Arnketil	Geoffrey Alselin?	Robert of Stafford	Kesteven [`Flaxwell' Wapentake]	"64,8?"	"Arnketil is not named as holding land in Rauceby, but both Robert of Vessey (37,4) and Geoffrey Alselin (64,8-9) held jurisdictions there whose holders are unnamed; Robert of Stafford had several holdings in the vill (59,12-15)."	"Robert of Stafford wrongfully held 6 bovates, a jurisdiction, of Arnketil's land in Rauceby hundred, as the Wapentake says."
4740	17539	LC	CK13	[Silk]_Willoughby	jurisdiction	Bishop of Lincoln	Bishop of Lincoln	-	Arnketil	Bishop of Lincoln	Bishop of Durham	Kesteven [`Flaxwell' Wapentake]	"7,53"	"DB describes the bishop of Durham's holding in Rauceby (3,37) as a jurisdiction of [Silk]_Willoughby, Arnketil's manor held by the bishop of Lincoln; but this statement implies that Remigius had exchanged the jurisdiction for 10 bovates of land."	"They say that Bishop Remigius's claim which he makes concerning Arnketil's jurisdiction in Rauceby hundred is wrongful because he only had 10 bovates himself from the lordship of the same Arnketil's land in exchange, and the whole of the other land was delivered to the Bishop of Durham."
